bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Beusichem en Zoelmond;0.05;0.90;0.05;0.01
IJssel en Oude IJssel;0.01;0.44;0.11;0.45
De Veenen;0.00;0.95;0.03;0.03
Deest;0.10;0.63;0.27;0.00
Westeneng;0.00;0.90;0.01;0.10
Doornspijk-West;0.01;0.94;0.03;0.02
Oene;0.01;0.95;0.01;0.02
Meteren e.o.;0.01;0.95;0.03;0.01
Vogelwaard;0.07;0.56;0.20;0.17
Lorentz I;0.09;0.71;0.11;0.08
Hierden Mheenlanden;0.03;0.87;0.02;0.08
Boschheurne en Zwiepsche Broek;0.00;0.85;0.03;0.12
Zilverschoon/Oranjebuurt;0.10;0.54;0.30;0.07
Hoevelaken-Kleinhoven;0.09;0.60;0.21;0.10
Imbosch en Terlet;0.01;0.24;0.68;0.06
ten noorden van Scherpenzeel;0.05;0.84;0.06;0.06
Nijbroek;0.00;0.93;0.00;0.07
Het Binnenveld;0.02;0.85;0.03;0.10
Wageningse Berg;0.01;0.55;0.22;0.22
Uiterwaarden;0.00;0.91;0.00;0.09
Meddo;0.00;0.94;0.02;0.03
Leur;0.00;0.80;0.20;0.00
Batenburg;0.00;0.96;0.01;0.03
Bergharen;0.02;0.92;0.05;0.02
Buitengebied Dronten;0.00;0.79;0.04;0.16
Buitengebied Swifterbant;0.01;0.87;0.02;0.10
Stoutenburgerlaan;0.01;0.92;0.07;0.00
Westbroek;0.04;0.85;0.04;0.07
Spakenburg;0.11;0.56;0.30;0.03
Houten;0.14;0.47;0.30;0.09
De Rijp;0.17;0.53;0.28;0.02
Boekenbuurt;0.12;0.46;0.37;0.05
Binnenveld;0.02;0.81;0.08;0.09
Eemgebied;0.07;0.90;0.02;0.01
De Birkt;0.02;0.90;0.01;0.07
Maarschalkerweerd en Mereveld;0.07;0.75;0.13;0.05
Rijnenburg;0.01;0.96;0.01;0.02
Buitengebied Cothen;0.03;0.90;0.04;0.04
Carré;0.11;0.29;0.54;0.06
Patijnpark;0.10;0.52;0.37;0.01
Noordwestkwadrant Indische buurt Zuid;0.17;0.29;0.51;0.04
Bosch en Duin;0.04;0.74;0.11;0.11
Uiterweg;0.03;0.79;0.18;0.00
Galjoenbuurt;0.15;0.48;0.32;0.05
Nes aan de Amstel;0.05;0.67;0.20;0.08
Kattenburg;0.03;0.17;0.66;0.15
Zeeburgereiland Noordwest;0.01;0.87;0.07;0.05
Lizzy Ansinghbuurt;0.10;0.34;0.49;0.07
Cornelis Troostbuurt;0.17;0.31;0.46;0.05
Oosterparkbuurt Noordwest;0.10;0.36;0.45;0.08
Zeeburgerdijk Oost;0.05;0.49;0.35;0.11
Veluwebuurt;0.06;0.46;0.46;0.03
Rode Kruisbuurt;0.08;0.47;0.32;0.13
Oostoever Sloterplas;0.12;0.32;0.45;0.10
Amstel III deel A/B Noord;0.17;0.53;0.24;0.07
Hoge Dijk;0.07;0.63;0.13;0.17
Kelbergen;0.12;0.42;0.39;0.07
G-buurt Noord;0.15;0.24;0.51;0.10
Dorp Driemond;0.11;0.52;0.32;0.05
in de polders;0.02;0.85;0.04;0.09
Wijkerbroek;0.02;0.79;0.06;0.12
Blaricum-Dorp;0.04;0.79;0.11;0.06
De Kampen;0.00;1.00;0.00;0.00
Duingebied;0.10;0.61;0.25;0.04
Stammerdijk;0.04;0.75;0.15;0.06
Volendam-Oude kom;0.16;0.51;0.32;0.01
Oosterdijk;0.00;0.93;0.00;0.07
Zwanenburg Dijk;0.09;0.71;0.19;0.02
Rijsenhout Dijk;0.09;0.72;0.19;0.00
Zwaanshoek Omgeving;0.01;0.64;0.08;0.27
De Houtwegen;0.24;0.55;0.13;0.08
Schrijverswijk;0.11;0.49;0.34;0.05
Hoogdorp;0.08;0.54;0.28;0.09
Wolfskamer;0.28;0.40;0.28;0.04
Stad van de Zon;0.10;0.54;0.35;0.01
Landsmeer;0.07;0.51;0.29;0.13
Oudkarspel;0.05;0.74;0.17;0.05
Duivendrecht;0.10;0.56;0.26;0.08
Weespersluis;0.06;0.67;0.13;0.14
Noordpolder;0.02;0.70;0.08;0.19
Zuiderdijk;0.01;0.98;0.00;0.00
Schellinkhout;0.05;0.79;0.10;0.07
Redebuurt;0.14;0.36;0.43;0.06
Beemster/Purmerhoek;0.19;0.43;0.33;0.05
Amerikaansebuurt;0.11;0.34;0.46;0.09
Aziëbuurt;0.17;0.33;0.42;0.08
Admiraalsplein;0.15;0.30;0.50;0.05
Hoog Dalem;0.15;0.55;0.24;0.05
Elizabethhof;0.15;0.55;0.22;0.09
Houtwijk;0.14;0.36;0.44;0.06
Vruchtenbuurt;0.15;0.36;0.45;0.05
De Vesting;0.12;0.30;0.59;0.00
Glaciswijk;0.12;0.42;0.42;0.04
Moerwijk-West;0.09;0.44;0.41;0.06
Giessendam;0.09;0.68;0.19;0.05
Strand;0.03;0.33;0.59;0.05
Duinhoeck;0.07;0.87;0.02;0.05
Buitengebied;0.00;0.91;0.02;0.07
Kedichem;NULL;NULL;NULL;NULL
in het Oosten;0.00;0.88;0.03;0.08
Overige verspreide huizen Goudswaard;0.04;0.84;0.05;0.07
Ruige weide;NULL;NULL;NULL;NULL
Centrum;0.13;0.47;0.36;0.04
Donkersloot;0.13;0.63;0.15;0.09
Stadsdriehoek;0.06;0.33;0.55;0.06
Oud IJsselmonde;0.15;0.47;0.32;0.06
Indische Buurt;0.07;0.54;0.31;0.08
Borssele;0.01;0.91;0.05;0.03
Buitengebied Kamerik;0.02;0.81;0.05;0.13
Nijrees;0.13;0.67;0.18;0.02
Ellewoutsdijk;0.00;1.00;0.00;0.00
Oudelande;0.00;0.96;0.02;0.01
Wolphaartsdijk;0.01;0.88;0.03;0.08
Buitengebied Kloosterzande;0.03;0.89;0.02;0.06
Kruispolder;0.01;0.98;0.00;0.00
Kapelle;0.01;0.89;0.01;0.09
Yerseke - Kern;0.12;0.60;0.27;0.02
Middelkoop;0.00;0.73;0.00;0.27
Veere;0.18;0.51;0.26;0.04
Buitengebied Sas van Gent;0.03;0.87;0.03;0.08
Scherpenisse;0.01;0.96;0.01;0.02
Oud-Vossemeer;0.00;0.93;0.01;0.06
in het Noorden;0.15;0.76;0.03;0.07
Zoutelande;0.05;0.69;0.14;0.11
Westduin;0.18;0.31;0.12;0.39
Sloegebied;0.07;0.88;0.00;0.05
Vinkeveen Buitengebied;0.00;0.84;0.09;0.07
Abcoude Buitengebied;0.01;0.89;0.02;0.08
Baambrugge Buitengebied;0.00;0.94;0.00;0.05
Hazeldonk;0.05;0.89;0.05;0.01
Buitengebied Bavel;0.01;0.90;0.04;0.05
Centrum;0.16;0.52;0.31;0.01
Wintelre;0.01;0.88;0.03;0.07
Koudenhoven;0.06;0.62;0.15;0.16
Landelijk gebied 4 (Noord);0.00;0.79;0.01;0.20
West;0.10;0.54;0.31;0.05
Houtsdonk;0.07;0.65;0.18;0.10
Geeneind;0.02;0.90;0.03;0.05
Hoogeind;0.04;0.81;0.02;0.13
Roofvogelbuurt;0.10;0.52;0.31;0.06
Hoefeind;0.11;0.62;0.24;0.03
Buitengebied Udenhout Noord;0.00;0.69;0.01;0.30
Turfbergse Heide Nederheide;0.01;0.89;0.02;0.08
ten zuiden van de E3-weg;0.06;0.82;0.04;0.09
Spie Deen;0.05;0.48;0.23;0.24
Reuver;0.09;0.62;0.26;0.03
Well Buitengebied;0.03;0.55;0.35;0.07
Schiffelerveld;0.26;0.42;0.27;0.05
Sint Pieter;0.08;0.61;0.26;0.05
Amby;0.06;0.67;0.24;0.03
Maasplassen;0.08;0.82;0.02;0.07
Vaesrade;0.06;0.73;0.11;0.10
Haasdal;0.07;0.81;0.08;0.04
Verspreide huizen;0.01;0.67;0.23;0.08
Verspreide huizen;0.07;0.80;0.05;0.07
Hugten;0.02;0.92;0.00;0.07
Houtribhoogte Zuid;0.20;0.51;0.26;0.02
Houtribhoogte Noord;0.07;0.71;0.13;0.09
Plenkert;0.18;0.48;0.32;0.02
Euverem;0.01;0.57;0.42;0.00
Geulhem;0.14;0.65;0.22;0.00
Larservaartbos;0.00;0.79;0.00;0.21
Landelijk Gebied zuidzijde;0.00;0.88;0.07;0.05
Overberg en De Haar;0.01;0.96;0.02;0.01
in de Geldersche Vallei;0.01;0.86;0.09;0.04
Zuidermeer en omgeving;0.03;0.92;0.05;0.00
Haelen;0.01;0.90;0.03;0.06
Haler;0.00;0.92;0.00;0.08
Eemshavengebied;0.07;0.76;0.14;0.04
Kern Heythuysen;0.11;0.60;0.25;0.05
Roggel;0.01;0.92;0.02;0.04
Kern Neer;0.09;0.69;0.18;0.04
Baexem;0.00;0.92;0.00;0.08
Neeritter;0.06;0.88;0.01;0.05
ten noorden van Hoeven;0.01;0.92;0.06;0.01
Montfort;0.06;0.64;0.28;0.02
Buitengebied Montfort;0.01;0.83;0.13;0.03
Buitengebied Posterholt;0.03;0.89;0.05;0.04
Buitengebied Herkenbosch;0.06;0.60;0.29;0.05
Kerkwerve;0.01;0.85;0.01;0.13
Dreischor;0.01;0.94;0.03;0.03
in het Kleigebied;0.01;0.95;0.01;0.03
Serooskerke;0.00;0.80;0.06;0.14
Schipborg;0.00;0.91;0.05;0.04
Rolde;0.00;0.82;0.10;0.07
Valthermond;0.00;0.88;0.04;0.08
Beers buitengebied;0.02;0.89;0.02;0.07
Ansen;0.00;0.93;0.01;0.06
Oud-Loosdrecht;0.19;0.58;0.11;0.12
Breukeleveen;0.11;0.75;0.14;0.00
De Bossen;0.14;0.53;0.30;0.03
Buurtschap Meer;0.02;0.88;0.02;0.08
Havelte;0.02;0.88;0.03;0.07
Uffelte;0.00;0.87;0.02;0.11
Willemstad;0.13;0.47;0.34;0.07
Leeuwte (gedeeltelijk);0.04;0.96;0.00;0.00
Industrieterrein Moerdijk;0.07;0.84;0.02;0.07
Klundert;0.00;0.88;0.04;0.08
Heide;0.01;0.81;0.01;0.17
Mariaveld;0.10;0.56;0.33;0.01
Middelveld;0.11;0.52;0.31;0.06
Dieteren;0.07;0.63;0.30;0.00
Buitengebied de Berk;0.11;0.52;0.15;0.22
