"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU02140109","Beusichem en Zoelmond",0.05,0.90,0.05,0.01
"BU02210110","IJssel en Oude IJssel",0.01,0.44,0.11,0.45
"BU02284032","De Veenen",0.00,0.95,0.03,0.03
"BU02250301","Deest",0.10,0.63,0.27,0.00
"BU02287031","Westeneng",0.00,0.90,0.01,0.10
"BU02300306","Doornspijk-West",0.01,0.94,0.03,0.02
"BU02320108","Oene",0.01,0.95,0.01,0.02
"BU02360403","Meteren e.o.",0.01,0.95,0.03,0.01
"BU02430805","Vogelwaard",0.07,0.56,0.20,0.17
"BU02431301","Lorentz I",0.09,0.71,0.11,0.08
"BU02431503","Hierden Mheenlanden",0.03,0.87,0.02,0.08
"BU02620309","Boschheurne en Zwiepsche Broek",0.00,0.85,0.03,0.12
"BU02670108","Zilverschoon/Oranjebuurt",0.10,0.54,0.30,0.07
"BU02670503","Hoevelaken-Kleinhoven",0.09,0.60,0.21,0.10
"BU02770009","Imbosch en Terlet",0.01,0.24,0.68,0.06
"BU02790009","ten noorden van Scherpenzeel",0.05,0.84,0.06,0.06
"BU02850108","Nijbroek",0.00,0.93,0.00,0.07
"BU02891201","Het Binnenveld",0.02,0.85,0.03,0.10
"BU02891203","Wageningse Berg",0.01,0.55,0.22,0.22
"BU02891205","Uiterwaarden",0.00,0.91,0.00,0.09
"BU02940104","Meddo",0.00,0.94,0.02,0.03
"BU02960601","Leur",0.00,0.80,0.20,0.00
"BU02960301","Batenburg",0.00,0.96,0.01,0.03
"BU02960402","Bergharen",0.02,0.92,0.05,0.02
"BU03030550","Buitengebied Dronten",0.00,0.79,0.04,0.16
"BU03030720","Buitengebied Swifterbant",0.01,0.87,0.02,0.10
"BU03071202","Stoutenburgerlaan",0.01,0.92,0.07,0.00
"BU03100101","Westbroek",0.04,0.85,0.04,0.07
"BU03130002","Spakenburg",0.11,0.56,0.30,0.03
"BU03211231","Houten",0.14,0.47,0.30,0.09
"BU03611003","De Rijp",0.17,0.53,0.28,0.02
"BU03620603","Boekenbuurt",0.12,0.46,0.37,0.05
"BU03400601","Binnenveld",0.02,0.81,0.08,0.09
"BU03420404","Eemgebied",0.07,0.90,0.02,0.01
"BU03420702","De Birkt",0.02,0.90,0.01,0.07
"BU03440526","Maarschalkerweerd en Mereveld",0.07,0.75,0.13,0.05
"BU03441041","Rijnenburg",0.01,0.96,0.01,0.02
"BU03520201","Buitengebied Cothen",0.03,0.90,0.04,0.04
"BU03550101","Carré",0.11,0.29,0.54,0.06
"BU03550201","Patijnpark",0.10,0.52,0.37,0.01
"BU03633101","Noordwestkwadrant Indische buurt Zuid",0.17,0.29,0.51,0.04
"BU03550503","Bosch en Duin",0.04,0.74,0.11,0.11
"BU03580005","Uiterweg",0.03,0.79,0.18,0.00
"BU03621005","Galjoenbuurt",0.15,0.48,0.32,0.05
"BU03621301","Nes aan de Amstel",0.05,0.67,0.20,0.08
"BU03630901","Kattenburg",0.03,0.17,0.66,0.15
"BU03633400","Zeeburgereiland Noordwest",0.01,0.87,0.07,0.05
"BU03632502","Lizzy Ansinghbuurt",0.10,0.34,0.49,0.07
"BU03632503","Cornelis Troostbuurt",0.17,0.31,0.46,0.05
"BU03632800","Oosterparkbuurt Noordwest",0.10,0.36,0.45,0.08
"BU03633202","Zeeburgerdijk Oost",0.05,0.49,0.35,0.11
"BU03635206","Veluwebuurt",0.06,0.46,0.46,0.03
"BU03636900","Rode Kruisbuurt",0.08,0.47,0.32,0.13
"BU03638500","Oostoever Sloterplas",0.12,0.32,0.45,0.10
"BU03639201","Amstel III deel A/B Noord",0.17,0.53,0.24,0.07
"BU03639206","Hoge Dijk",0.07,0.63,0.13,0.17
"BU03639404","Kelbergen",0.12,0.42,0.39,0.07
"BU03639412","G-buurt Noord",0.15,0.24,0.51,0.10
"BU03639800","Dorp Driemond",0.11,0.52,0.32,0.05
"BU03730709","in de polders",0.02,0.85,0.04,0.09
"BU03750902","Wijkerbroek",0.02,0.79,0.06,0.12
"BU03760102","Blaricum-Dorp",0.04,0.79,0.11,0.06
"BU03760106","De Kampen",0.00,1.00,0.00,0.00
"BU03830431","Duingebied",0.10,0.61,0.25,0.04
"BU03840012","Stammerdijk",0.04,0.75,0.15,0.06
"BU03850201","Volendam-Oude kom",0.16,0.51,0.32,0.01
"BU03880103","Oosterdijk",0.00,0.93,0.00,0.07
"BU03940349","Zwanenburg Dijk",0.09,0.71,0.19,0.02
"BU03940781","Rijsenhout Dijk",0.09,0.72,0.19,0.00
"BU03941295","Zwaanshoek Omgeving",0.01,0.64,0.08,0.27
"BU03960400","De Houtwegen",0.24,0.55,0.13,0.08
"BU03980100","Schrijverswijk",0.11,0.49,0.34,0.05
"BU03960900","Hoogdorp",0.08,0.54,0.28,0.09
"BU04060512","Wolfskamer",0.28,0.40,0.28,0.04
"BU03981701","Stad van de Zon",0.10,0.54,0.35,0.01
