gm_code,gm_naam,parkeren_p,auto_pct,voet_pct,fiets_pct
GM1655,Halderberge,0.06,0.75,0.14,0.05
GM0297,Zaltbommel,0.07,0.75,0.14,0.04
GM0826,Oosterhout,0.08,0.67,0.19,0.07
GM0141,Almelo,0.1,0.65,0.19,0.06
GM1942,Gooise Meren,0.07,0.65,0.23,0.06
GM1734,Overbetuwe,0.06,0.74,0.15,0.06
GM0352,Wijk bij Duurstede,0.08,0.65,0.22,0.05
GM0861,Veldhoven,0.09,0.58,0.25,0.07
GM1742,Rijssen-Holten,0.08,0.72,0.15,0.04
GM0163,Hellendoorn,0.05,0.76,0.11,0.07
GM0530,Hellevoetsluis,0.1,0.57,0.26,0.07
GM0420,Medemblik,0.07,0.69,0.16,0.08
GM0502,Capelle aan den IJssel,0.16,0.47,0.32,0.06
GM0200,Apeldoorn,0.07,0.73,0.14,0.06
GM0928,Kerkrade,0.09,0.56,0.3,0.04
GM0302,Nunspeet,0.05,0.81,0.09,0.05
GM0150,Deventer,0.07,0.66,0.21,0.06
GM0233,Ermelo,0.06,0.57,0.3,0.07
GM0109,Coevorden,0.04,0.82,0.06,0.07
GM1900,Súdwest-Fryslân,0.06,0.75,0.14,0.06
GM0307,Amersfoort,0.08,0.59,0.27,0.05
GM1730,Tynaarlo,0.06,0.75,0.12,0.07
GM0718,Vlissingen,0.1,0.63,0.2,0.06
GM0183,Tubbergen,0.03,0.81,0.08,0.08
GM1711,Echt-Susteren,0.06,0.72,0.16,0.07
GM0503,Delft,0.12,0.44,0.37,0.07
GM0339,Renswoude,0.07,0.69,0.16,0.08
GM1952,Midden-Groningen,0.06,0.77,0.12,0.05
GM0756,Boxmeer,0.05,0.82,0.07,0.06
GM1641,Maasgouw,0.08,0.6,0.18,0.13
GM0946,Nederweert,0.03,0.83,0.1,0.04
GM0080,Leeuwarden,0.09,0.64,0.2,0.07
GM1891,Dantumadiel,0.06,0.72,0.17,0.05
GM0512,Gorinchem,0.11,0.59,0.25,0.04
GM1892,Zuidplas,0.1,0.63,0.2,0.07
GM0614,Westvoorne,0.06,0.67,0.19,0.08
GM0439,Purmerend,0.15,0.48,0.3,0.07
GM0935,Maastricht,0.13,0.53,0.28,0.06
GM0114,Emmen,0.08,0.71,0.14,0.07
GM0303,Dronten,0.08,0.69,0.13,0.09
GM0321,Houten,0.11,0.61,0.22,0.06
GM0888,Beek,0.06,0.73,0.16,0.05
GM0246,Heerde,0.04,0.76,0.13,0.07
GM0707,Zederik,0.06,0.8,0.11,0.04
GM0015,Grootegast,0.06,0.75,0.11,0.08
GM1940,De Fryske Marren,0.06,0.77,0.12,0.05
GM0263,Maasdriel,0.06,0.75,0.12,0.07
GM0085,Ooststellingwerf,0.04,0.69,0.2,0.08
GM1728,Bladel,0.05,0.75,0.12,0.07
GM0034,Almere,0.11,0.54,0.26,0.09
GM0232,Epe,0.03,0.81,0.09,0.07
GM1740,Neder-Betuwe,0.05,0.81,0.11,0.03
GM0053,Winsum,0.05,0.77,0.13,0.06
GM0777,Etten-Leur,0.08,0.62,0.22,0.08
GM0432,Opmeer,0.08,0.71,0.15,0.06
GM0944,Mook en Middelaar,0.06,0.55,0.33,0.06
GM0293,Westervoort,0.12,0.55,0.29,0.05
GM0277,Rozendaal,0.02,0.32,0.6,0.06
GM1895,Oldambt,0.06,0.74,0.15,0.05
GM0758,Breda,0.09,0.59,0.26,0.06
GM0243,Harderwijk,0.09,0.64,0.18,0.08
GM0755,Boekel,0.08,0.74,0.13,0.06
GM1676,Schouwen-Duiveland,0.06,0.76,0.12,0.06
GM0394,Haarlemmermeer,0.13,0.61,0.19,0.07
GM0005,Bedum,0.07,0.7,0.16,0.07
GM0003,Appingedam,0.07,0.67,0.22,0.04
GM1931,Krimpenerwaard,0.09,0.64,0.21,0.05
GM0317,Eemnes,0.06,0.77,0.12,0.04
GM0014,Groningen,0.08,0.57,0.28,0.08
GM0765,Pekela,0.06,0.75,0.15,0.04
