wk_code,gm_naam,gm_code,parkeren_sqm,auto_sqm,fiets_sqm,voet_sqm,parkeren_pct,auto_pct,voet_pct,fiets_pct,voet_fiet_pct
WK001412,Groningen,GM0014,114987,485308,112809,268741,0.12,0.49,0.27,0.11,0.38
WK001414,Groningen,GM0014,19205,321405,56858,30328,0.04,0.75,0.07,0.13,0.2
WK000500,Bedum,GM0005,74627,718111,69981,169810,0.07,0.7,0.16,0.07,0.23
WK000900,Ten Boer,GM0009,33733,482511,59307,87448,0.05,0.73,0.13,0.09,0.22
WK000901,Ten Boer,GM0009,6972,243182,11648,13499,0.03,0.88,0.05,0.04,0.09
WK002402,Loppersum,GM0024,14904,348475,9002,88410,0.03,0.76,0.19,0.02,0.21
WK002401,Loppersum,GM0024,5989,224631,11225,61149,0.02,0.74,0.2,0.04,0.24
WK195213,Midden-Groningen,GM1952,7088,228122,25066,23325,0.02,0.8,0.08,0.09,0.17
WK195216,Midden-Groningen,GM1952,2453,336091,24362,7224,0.01,0.91,0.02,0.07,0.09
WK195209,Midden-Groningen,GM1952,18878,421335,23011,42025,0.04,0.83,0.08,0.05,0.13
WK193100,Krimpenerwaard,GM1931,49142,417546,22575,113682,0.08,0.69,0.19,0.04,0.23
WK002400,Loppersum,GM0024,23602,336057,18351,118089,0.05,0.68,0.24,0.04,0.28
WK195212,Midden-Groningen,GM1952,19462,310963,26665,44226,0.05,0.77,0.11,0.07,0.18
WK193102,Krimpenerwaard,GM1931,28495,219473,17364,91004,0.08,0.62,0.26,0.05,0.31
WK059914,Rotterdam,GM0599,609674,2156061,300925,1957820,0.12,0.43,0.39,0.06,0.45
WK193101,Krimpenerwaard,GM1931,35892,241370,25051,102101,0.09,0.6,0.25,0.06,0.31
WK054200,Krimpen aan den IJssel,GM0542,181917,730721,99505,523105,0.12,0.48,0.34,0.06,0.4
WK059912,Rotterdam,GM0599,417547,1408914,186864,1378960,0.12,0.42,0.41,0.06,0.47
WK050201,Capelle aan den IJssel,GM0502,63059,188146,22636,139766,0.15,0.45,0.34,0.05,0.39
WK050202,Capelle aan den IJssel,GM0502,57774,171460,22320,116996,0.16,0.47,0.32,0.06,0.38
